Build,Test,TES_COM_CountDeclFunction,TES_COM_CountLine,TES_COM_CountLineBlank,TES_COM_CountLineCode,TES_COM_CountLineCodeDecl,TES_COM_CountLineCodeExe,TES_COM_CountLineComment,TES_COM_CountStmt,TES_COM_CountStmtDecl,TES_COM_CountStmtExe,TES_COM_RatioCommentToCode,TES_COM_MaxCyclomatic,TES_COM_MaxCyclomaticModified,TES_COM_MaxCyclomaticStrict,TES_COM_MaxEssential,TES_COM_MaxNesting,TES_COM_SumCyclomatic,TES_COM_SumCyclomaticModified,TES_COM_SumCyclomaticStrict,TES_COM_SumEssential,TES_COM_CountDeclClass,TES_COM_CountDeclClassMethod,TES_COM_CountDeclClassVariable,TES_COM_CountDeclExecutableUnit,TES_COM_CountDeclInstanceMethod,TES_COM_CountDeclInstanceVariable,TES_COM_CountDeclMethod,TES_COM_CountDeclMethodDefault,TES_COM_CountDeclMethodPrivate,TES_COM_CountDeclMethodProtected,TES_COM_CountDeclMethodPublic,TES_PRO_CommitCount,TES_PRO_DistinctDevCount,TES_PRO_OwnersContribution,TES_PRO_MinorContributorCount,TES_PRO_OwnersExperience,TES_PRO_AllCommitersExperience,TES_CHN_LinesAdded,TES_CHN_LinesDeleted,TES_CHN_AddedChangeScattering,TES_CHN_DeletedChangeScattering,TES_CHN_DMMSize,TES_CHN_DMMComplexity,TES_CHN_DMMInterfacing,Verdict,Duration,REC_Age,REC_LastFailureAge,REC_LastTransitionAge,REC_RecentAvgExeTime,REC_RecentMaxExeTime,REC_RecentFailRate,REC_RecentAssertRate,REC_RecentExcRate,REC_RecentTransitionRate,REC_TotalAvgExeTime,REC_TotalMaxExeTime,REC_TotalFailRate,REC_TotalAssertRate,REC_TotalExcRate,REC_TotalTransitionRate,REC_LastVerdict,REC_LastExeTime,REC_MaxTestFileFailRate,REC_MaxTestFileTransitionRate,COV_ChnScoreSum,COV_ImpScoreSum,COV_ChnCount,COV_ImpCount,COD_COV_COM_C_CountDeclFunction,COD_COV_COM_C_CountLine,COD_COV_COM_C_CountLineBlank,COD_COV_COM_C_CountLineCode,COD_COV_COM_C_CountLineCodeDecl,COD_COV_COM_C_CountLineCodeExe,COD_COV_COM_C_CountLineComment,COD_COV_COM_C_CountStmt,COD_COV_COM_C_CountStmtDecl,COD_COV_COM_C_CountStmtExe,COD_COV_COM_C_RatioCommentToCode,COD_COV_COM_C_MaxCyclomatic,COD_COV_COM_C_MaxCyclomaticModified,COD_COV_COM_C_MaxCyclomaticStrict,COD_COV_COM_C_MaxEssential,COD_COV_COM_C_MaxNesting,COD_COV_COM_C_SumCyclomatic,COD_COV_COM_C_SumCyclomaticModified,COD_COV_COM_C_SumCyclomaticStrict,COD_COV_COM_C_SumEssential,COD_COV_COM_C_CountDeclClass,COD_COV_COM_C_CountDeclClassMethod,COD_COV_COM_C_CountDeclClassVariable,COD_COV_COM_C_CountDeclExecutableUnit,COD_COV_COM_C_CountDeclInstanceMethod,COD_COV_COM_C_CountDeclInstanceVariable,COD_COV_COM_C_CountDeclMethod,COD_COV_COM_C_CountDeclMethodDefault,COD_COV_COM_C_CountDeclMethodPrivate,COD_COV_COM_C_CountDeclMethodProtected,COD_COV_COM_C_CountDeclMethodPublic,COD_COV_PRO_C_CommitCount,COD_COV_PRO_C_DistinctDevCount,COD_COV_PRO_C_OwnersContribution,COD_COV_PRO_C_MinorContributorCount,COD_COV_PRO_C_OwnersExperience,COD_COV_PRO_C_AllCommitersExperience,COD_COV_CHN_C_LinesAdded,COD_COV_CHN_C_LinesDeleted,COD_COV_CHN_C_AddedChangeScattering,COD_COV_CHN_C_DeletedChangeScattering,COD_COV_CHN_C_DMMSize,COD_COV_CHN_C_DMMComplexity,COD_COV_CHN_C_DMMInterfacing,COD_COV_COM_IMP_CountDeclFunction,COD_COV_COM_IMP_CountLine,COD_COV_COM_IMP_CountLineBlank,COD_COV_COM_IMP_CountLineCode,COD_COV_COM_IMP_CountLineCodeDecl,COD_COV_COM_IMP_CountLineCodeExe,COD_COV_COM_IMP_CountLineComment,COD_COV_COM_IMP_CountStmt,COD_COV_COM_IMP_CountStmtDecl,COD_COV_COM_IMP_CountStmtExe,COD_COV_COM_IMP_RatioCommentToCode,COD_COV_COM_IMP_MaxCyclomatic,COD_COV_COM_IMP_MaxCyclomaticModified,COD_COV_COM_IMP_MaxCyclomaticStrict,COD_COV_COM_IMP_MaxEssential,COD_COV_COM_IMP_MaxNesting,COD_COV_COM_IMP_SumCyclomatic,COD_COV_COM_IMP_SumCyclomaticModified,COD_COV_COM_IMP_SumCyclomaticStrict,COD_COV_COM_IMP_SumEssential,COD_COV_COM_IMP_CountDeclClass,COD_COV_COM_IMP_CountDeclClassMethod,COD_COV_COM_IMP_CountDeclClassVariable,COD_COV_COM_IMP_CountDeclExecutableUnit,COD_COV_COM_IMP_CountDeclInstanceMethod,COD_COV_COM_IMP_CountDeclInstanceVariable,COD_COV_COM_IMP_CountDeclMethod,COD_COV_COM_IMP_CountDeclMethodDefault,COD_COV_COM_IMP_CountDeclMethodPrivate,COD_COV_COM_IMP_CountDeclMethodProtected,COD_COV_COM_IMP_CountDeclMethodPublic,COD_COV_PRO_IMP_CommitCount,COD_COV_PRO_IMP_DistinctDevCount,COD_COV_PRO_IMP_OwnersContribution,COD_COV_PRO_IMP_MinorContributorCount,COD_COV_PRO_IMP_OwnersExperience,COD_COV_PRO_IMP_AllCommitersExperience,DET_COV_C_Faults,DET_COV_IMP_Faults
565766526,2757,29,1775,316,1410,364,1084,49,1560,581,979,0.03,14,14,14,1,2,260,260,260,29,1,2,31,29,27,11,29,0,0,0,29,10,3,59.97749015194147,0,24.377859929914546,4.26656093482136,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,23640,1,-1,-1,23803.0,23803,0.0,0.0,0.0,0.0,23803.0,23803,0.0,0.0,0.0,0.0,0,23803,-1.0,-1.0,0.0,1.094094794094794,0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.74802925928557,584.0198139336695,85.45472622683049,481.9393508983737,199.20893402457213,242.02087919892054,16.62573680846531,337.87138697535687,174.64661600738583,163.22477096797104,0.06593423762516867,10.09729422626234,7.43967047794901,10.919892053121227,3.225907250905476,2.3608408493714936,120.38136495987501,113.88495135288689,128.32611320218734,77.08671259143527,1.0,53.81336552801648,2.179532703643207,72.39301185995313,20.07527874440736,3.2249130033378304,73.88864427242385,0.0703075065691357,0.0,0.0,73.81833676585471,10.053973439386407,4.8664157375186425,45.06784563004307,1.7258007243803708,33.16269678632721,4.155942960200892,-1.0,1.5937788509338824
565766526,2958,4,166,21,100,42,72,45,87,41,46,0.45,2,2,2,1,1,7,7,7,4,1,0,4,4,4,1,4,0,2,0,2,14,4,59.758203799654574,1,34.44709296035987,6.17688020302276,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,48332,0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.0,0.30769230769230765,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,2953,4,128,20,80,33,52,28,67,32,35,0.35,2,2,2,1,1,7,7,7,4,1,0,4,4,4,1,4,0,3,0,1,9,3,63.08068459657702,0,34.44709296035987,23.861536319008874,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,85408,1,-1,-1,83387.0,83387,0.0,0.0,0.0,0.0,83387.0,83387,0.0,0.0,0.0,0.0,0,83387,-1.0,-1.0,0.0,0.15384615384615383,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,2955,4,128,22,78,31,52,28,65,30,35,0.36,2,2,2,1,1,7,7,7,4,1,0,4,4,4,1,4,0,3,0,1,8,3,63.725490196078425,1,34.44709296035987,23.861536319008874,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,362946,1,-1,-1,385145.0,385145,0.0,0.0,0.0,0.0,385145.0,385145,0.0,0.0,0.0,0.0,0,385145,-1.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
565766526,2956,5,191,23,121,47,90,47,105,46,59,0.39,2,2,2,1,1,9,9,9,5,1,0,4,5,5,1,5,0,3,0,2,21,4,59.036144578313255,1,34.44709296035987,6.17688020302276,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,76593,0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.0,0.30769230769230765,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,2957,4,175,27,100,43,72,48,87,42,45,0.48,2,2,2,1,1,7,7,7,4,1,0,4,4,4,1,4,0,2,0,2,26,4,52.724594992636234,1,34.44709296035987,6.412254589937225,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,36998,1,-1,-1,34129.0,34129,0.0,0.0,0.0,0.0,34129.0,34129,0.0,0.0,0.0,0.0,0,34129,-1.0,-1.0,0.0,0.15384615384615383,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,2959,4,130,21,81,33,53,28,68,32,36,0.35,2,2,2,1,1,7,7,7,4,1,0,4,4,4,1,4,0,3,0,1,11,3,61.904761904761905,0,34.44709296035987,23.861536319008874,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,52382,0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.0,0.15384615384615383,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,4691,29,1264,247,929,388,723,89,915,435,480,0.1,4,4,4,1,2,93,93,93,29,1,2,31,29,27,7,29,0,0,0,29,7,3,99.7229916897507,2,24.377859929914546,1.4410155524769663,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,20449,1,-1,-1,20465.0,20465,0.0,0.0,0.0,0.0,20465.0,20465,0.0,0.0,0.0,0.0,0,20465,-1.0,-1.0,0.0,0.0,0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,297.0,2534.0,358.0,2090.0,849.0,1093.0,86.0,1452.0,740.0,712.0,0.36,66.0,34.0,69.0,14.0,11.0,526.0,480.0,581.0,311.0,5.0,197.0,31.0,293.0,102.0,37.0,299.0,1.0,0.0,0.0,298.0,52.0,26.0,216.65176382713088,9.0,153.96719962346205,19.867318336872124,-1.0,8.0
565766526,2961,5,196,28,124,49,93,44,108,48,60,0.35,2,2,2,1,1,9,9,9,5,1,0,4,5,5,1,5,0,3,0,2,15,6,38.35497835497835,3,24.377859929914546,2.433910259434831,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1,618050,0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.0,0.30769230769230765,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
565766526,2962,5,198,30,123,50,92,47,107,49,58,0.38,2,2,2,1,1,9,9,9,5,1,0,4,5,5,1,5,0,3,0,2,16,6,60.239162929745895,2,34.44709296035987,2.433910259434831,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1,17978,1,0,-1,17701.0,17701,1.0,0.0,1.0,0.0,17701.0,17701,1.0,0.0,1.0,0.0,1,17701,0.0,-1.0,0.0,0.30769230769230765,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,249.0,30.0,198.0,84.0,129.0,21.0,102.0,53.0,49.0,0.11,32.0,2.0,32.0,1.0,1.0,49.0,19.0,84.0,18.0,1.0,1.0,31.0,18.0,17.0,33.0,18.0,1.0,0.0,0.0,17.0,13.0,7.0,32.55690841715193,2.0,16.17882778202258,3.5702953513220517,-1.0,2.0
