Episode,Build,Reward,APFD,Improvement
0,688072357,10.773164103271963,0.5595238095238095,0.004761904761904745
1,683365076,10.211685856107632,0.5595238095238095,0.01904761904761909
2,572261080,8.944715744953179,0.5261904761904762,-0.030952380952380953
3,572266708,15.700207512592748,0.5294642857142857,0.033928571428571475
4,774584481,13.162765200179145,0.5822222222222222,-0.03555555555555556
5,572219491,19.466251978273018,0.532142857142857,0.02499999999999991
6,572569256,9.277532363589133,0.5666666666666668,0.011904761904761973
7,774588803,11.991657383418055,0.5066666666666667,-0.07111111111111101
8,774260344,12.338640612191519,0.5311111111111111,-0.08666666666666667
9,774445899,11.9557667361149,0.6044444444444445,-0.00666666666666671
10,688072357,8.116805162872378,0.530952380952381,-0.023809523809523836
11,774590033,13.607900724698773,0.5155555555555555,-0.09333333333333338
12,572664370,12.270138015722727,0.5261904761904762,-0.02857142857142858
13,706168614,15.668572894541803,0.5404761904761904,-0.01666666666666672
14,587286221,16.82619029462662,0.5213675213675214,-0.005698005698005604
15,573430804,17.884736878177705,0.529891304347826,-0.005434782608695787
16,573024295,15.555930208405844,0.5476190476190477,-0.01666666666666672
17,774588679,10.019381460008553,0.6184210526315789,-0.03947368421052633
18,587271561,21.967142520781348,0.5273809523809524,0.0035714285714285587
19,774260344,15.255045039980097,0.508888888888889,-0.10888888888888881
20,570817138,24.503447051924756,0.4796296296296297,-0.004629629629629539
21,572274981,30.879732765590425,0.5241071428571429,0.019642857142857184
22,572735102,31.967919945716858,0.5196428571428571,-0.00267857142857153
23,572117344,19.798789918104347,0.5690476190476191,-0.0023809523809523725
24,568334975,10.024805780846215,0.5909090909090909,-0.013986013986013957
25,572180043,29.763630509969364,0.48431899641577064,-0.0017921146953404632
26,572219491,31.01878167208387,0.5053571428571428,-0.0017857142857142794
27,683711413,19.60012465399182,0.5571428571428572,-0.0023809523809523725
28,774620167,18.0,0.5822222222222222,0.0
29,774251100,17.333685924665055,0.6088888888888889,-0.013333333333333308
30,774601140,17.73759415845342,0.6044444444444445,-0.013333333333333308
31,572664370,20.0,0.5547619047619048,0.0
32,774602173,18.0,0.6088888888888889,0.0
33,574186282,33.50157915711749,0.5071542130365659,-0.0015898251192368873
34,773587767,18.0,0.5933333333333333,0.0
35,571829234,31.021951789709387,0.5160984848484849,-0.0009469696969697239
36,774621409,18.0,0.6066666666666667,0.0
37,573676948,32.0,0.5053571428571428,0.0
38,774584481,18.0,0.6177777777777778,0.0
39,574186282,34.0,0.5087440381558028,0.0
40,572642875,32.0,0.5035714285714286,0.0
41,620480535,35.43004686665769,0.5160818713450294,-0.0007309941520466934
42,573430804,23.0,0.5353260869565218,0.0
43,774589874,18.0884446384827,0.5800000000000001,-0.0022222222222221255
44,617631185,29.0,0.5102370689655172,0.0
45,572663312,31.0,0.5137571157495255,0.0
46,572569256,19.786783570565778,0.5547619047619048,0.0
47,573676948,30.75944172682486,0.5017857142857143,-0.0035714285714285587
48,572659799,30.82262907599034,0.5023719165085389,-0.002846299810246644
49,573777420,34.51490978375506,0.5071428571428572,0.0
50,706168614,20.0,0.5571428571428572,0.0
51,572132189,31.0,0.4744623655913978,0.0
52,683722377,19.0,0.5827067669172933,0.0
53,617631185,29.0,0.5102370689655172,0.0
54,574186282,34.0,0.5087440381558028,0.0
55,572642875,32.0,0.5035714285714286,0.0
56,568334975,10.025766414973287,0.5909090909090909,-0.013986013986013957
57,572741130,32.0,0.50625,0.0
58,706168614,20.0,0.5571428571428572,0.0
59,572687246,32.0,0.5053571428571428,0.0
60,572759324,31.170102325700277,0.5053571428571428,-0.0017857142857142794
61,688072357,20.0,0.5547619047619048,0.0
62,774621349,18.0,0.6222222222222222,0.0
63,774588572,17.03451960774099,0.5733333333333334,-0.013333333333333308
64,572732843,20.0,0.5547619047619048,0.0
65,620485513,36.0,0.5146198830409358,0.0
66,572569256,20.0,0.5547619047619048,0.0
67,774588679,12.0,0.6578947368421052,0.0
68,574118187,34.0,0.5135135135135135,0.0
69,574121126,34.0,0.5039745627980922,0.0
70,774258146,18.0,0.5755555555555556,0.0
71,774616816,18.0,0.6266666666666667,0.0
72,773587767,18.0,0.5933333333333333,0.0
73,572164834,31.0,0.4798387096774193,0.0
74,774589874,18.0,0.5822222222222222,0.0
75,746705132,35.0,0.5254826254826255,0.0
76,572710446,32.0,0.5053571428571428,0.0
77,688072357,20.0,0.5547619047619048,0.0
78,574118362,33.298362711378275,0.5127186009538951,0.0
79,774260344,18.0,0.6177777777777778,0.0
80,683739035,20.0,0.5571428571428572,0.0
81,574118362,34.0,0.5127186009538951,0.0
82,572710446,30.75421393158533,0.5053571428571428,0.0
83,774445831,18.745499541776283,0.6177777777777778,0.008888888888888835
84,572266708,31.084472737592932,0.4946428571428571,-0.0008928571428571397
85,707354621,20.0,0.5714285714285715,0.0
86,572132481,30.159160729720497,0.4798387096774193,0.0
87,706168614,20.0,0.5571428571428572,0.0
88,568299456,10.579033275640986,0.5909090909090909,-0.013986013986013957
89,620485513,35.75872519473066,0.5146198830409358,0.0
90,683722377,18.22813598679626,0.5776942355889725,-0.005012531328320802
91,617696903,32.227237623472725,0.5037878787878788,-0.0016835016835016203
92,774371009,17.782738252382888,0.6155555555555556,-0.0022222222222221255
93,683722377,19.0,0.5827067669172933,0.0
94,568334975,11.0,0.6048951048951049,0.0
95,572663312,31.0,0.5137571157495255,0.0
96,587271561,27.054301763234093,0.5226190476190476,-0.0011904761904761862
97,746705132,34.522013950195344,0.5254826254826255,0.0
98,683358906,20.0,0.5595238095238095,0.0
99,572180209,19.27753084751894,0.5619047619047619,-0.0023809523809524835
100,774584481,18.0,0.6177777777777778,0.0
101,774446822,18.0,0.6088888888888889,0.0
102,707354621,19.32615787749355,0.5690476190476191,-0.0023809523809523725
103,774601140,18.0,0.6177777777777778,0.0
104,746705132,35.0,0.5254826254826255,0.0
105,774588803,18.0,0.5777777777777777,0.0
106,572710446,32.0,0.5053571428571428,0.0
107,617696903,33.0,0.5054713804713804,0.0
108,683711413,19.48258983191997,0.5571428571428572,-0.0023809523809523725
109,774602173,18.0,0.6088888888888889,0.0
110,587277184,28.0,0.5034562211981567,0.0
111,774446822,18.0,0.6088888888888889,0.0
112,774445899,18.0,0.6111111111111112,0.0
113,572569256,20.0,0.5547619047619048,0.0
114,573777039,20.0,0.5547619047619048,0.0
115,572663090,28.936386969654873,0.5211345939933258,0.0
116,683711413,20.0,0.5595238095238095,0.0
117,572732843,20.0,0.5547619047619048,0.0
118,774621409,18.0,0.6066666666666667,0.0
119,574118050,33.96111981673951,0.5047694753577107,-0.0015898251192368873
120,565766526,31.0,0.5156402737047898,0.0
121,572642875,32.0,0.5035714285714286,0.0
122,572669556,31.606544903350887,0.5089285714285714,0.0
123,707534724,20.0,0.5714285714285715,0.0
124,774588572,18.168608639353167,0.5955555555555556,0.008888888888888946
125,571827697,30.00915140495495,0.4469439728353141,0.0
126,572669556,32.0,0.5089285714285714,0.0
127,774445831,17.288273769564604,0.5955555555555556,-0.013333333333333308
128,574186282,34.0,0.5087440381558028,0.0
129,774588572,18.0,0.5866666666666667,0.0
130,573777420,35.0,0.5071428571428572,0.0
131,774616590,18.0,0.6177777777777778,0.0
132,620535556,27.0,0.5242656449553001,0.0
133,572570072,32.0,0.5107142857142857,0.0
134,572274038,32.0,0.5080357142857143,0.0
135,573676948,32.0,0.5053571428571428,0.0
136,573777420,35.0,0.5071428571428572,0.0
137,774446822,18.0,0.6088888888888889,0.0
138,572118894,31.0,0.47804659498207885,0.0
139,573776679,20.0,0.5571428571428572,0.0
140,572180043,31.0,0.4861111111111111,0.0
141,774584481,18.0,0.6177777777777778,0.0
142,774251100,18.0,0.6222222222222222,0.0
143,572569256,20.0,0.5547619047619048,0.0
144,572642875,32.0,0.5035714285714286,0.0
145,572177292,31.0,0.47804659498207885,0.0
146,572158302,30.934823952928088,0.4816308243727599,-0.0008960573476701761
147,572664370,20.0,0.5547619047619048,0.0
148,774601140,18.0,0.6177777777777778,0.0
149,587277184,27.752769390887917,0.5034562211981567,0.0
150,774588572,18.0,0.5866666666666667,0.0
151,774584481,18.0,0.6177777777777778,0.0
152,573430804,23.0,0.5353260869565218,0.0
153,573612979,32.0,0.5080357142857143,0.0
154,572139050,31.752201749591215,0.5022401433691756,0.016129032258064446
155,683358906,20.0,0.5595238095238095,0.0
156,572580658,30.247879039103225,0.5014231499051233,-0.002846299810246755
157,774621409,18.0,0.6066666666666667,0.0
158,774258146,18.0,0.5755555555555556,0.0
159,572641150,31.125764723018982,0.5008928571428571,-0.0008928571428571397
160,683358906,20.0,0.5595238095238095,0.0
161,572580658,30.2410266725627,0.5033206831119544,-0.000948766603415585
162,572710446,32.0,0.5053571428571428,0.0
163,572139050,31.0,0.4861111111111111,0.0
164,572177292,31.0,0.47804659498207885,0.0
165,587277184,28.0,0.5034562211981567,0.0
166,573612979,32.0,0.5080357142857143,0.0
167,774588679,12.0,0.6578947368421052,0.0
168,572270296,31.83846227642833,0.5008928571428571,0.0
169,572723377,32.0,0.5017857142857143,0.0
170,572569256,20.0,0.5547619047619048,0.0
171,707354621,19.704563617207334,0.5690476190476191,-0.0023809523809523725
172,703066934,20.0,0.5595238095238095,0.0
173,774588679,12.0,0.6578947368421052,0.0
174,572664370,20.0,0.5547619047619048,0.0
