Episode,Build,Reward,APFD,Improvement
0,617680618,-3.4000000000000004,0.5093984962406015,0.0052631578947368585
1,571734935,-0.6999999999999997,0.5022401433691756,0.026881720430107447
2,773587767,-2.2,0.5177777777777778,-0.07555555555555549
3,572164834,3.9,0.5676523297491038,0.08781362007168453
4,573430804,-1.6000000000000005,0.5244565217391305,-0.010869565217391353
5,774602173,-0.2999999999999994,0.5177777777777778,-0.09111111111111114
6,572687246,6.9,0.5669642857142856,0.06160714285714275
7,774620167,1.3000000000000003,0.5377777777777778,-0.0444444444444444
8,572659799,0.5,0.5317836812144212,0.026565464895635715
9,574118362,-0.40000000000000013,0.5278219395866454,0.015103338632750263
10,617681746,0.40000000000000013,0.5367074527252502,0.015572858731924377
11,572687246,-0.7,0.5214285714285714,0.016071428571428514
12,571734935,10.899999999999999,0.5676523297491038,0.09229390681003574
13,680844288,-1.5000000000000004,0.5261904761904762,-0.021428571428571463
14,774590033,-1.3999999999999995,0.5222222222222223,-0.08666666666666667
15,774251100,2.4000000000000004,0.5755555555555556,-0.046666666666666634
16,620485513,3.5,0.5314327485380118,0.016812865497076057
17,572117344,-0.5999999999999999,0.5666666666666668,-0.004761904761904745
18,574118187,-2.4999999999999996,0.5,-0.013513513513513487
19,774251100,7.8,0.6155555555555556,-0.006666666666666599
20,574118362,-3.1,0.5039745627980922,-0.008744038155802936
21,620480535,1.8000000000000007,0.5285087719298246,0.011695906432748537
22,571734935,-0.5999999999999996,0.5344982078853047,0.05913978494623656
23,746705132,2.0,0.5447876447876447,0.019305019305019266
24,572580658,1.9,0.52988614800759,0.02561669829222002
25,774588679,4.5,0.5482456140350876,-0.10964912280701755
26,774251100,7.299999999999999,0.5466666666666666,-0.0755555555555556
27,571173535,-3.4999999999999996,0.536111111111111,0.043518518518518345
28,572158302,4.0,0.5398745519713262,0.0573476702508961
29,573677038,10.200000000000001,0.5517857142857142,0.047321428571428514
30,573677309,0.6000000000000001,0.5285714285714285,0.018749999999999933
31,617631185,12.6,0.5748922413793103,0.06465517241379304
32,774446822,3.5999999999999996,0.6000000000000001,-0.008888888888888835
33,571827697,-4.900000000000001,0.5241935483870969,0.07724957555178275
34,774620167,1.7999999999999998,0.5533333333333333,-0.028888888888888853
35,572710446,-1.1999999999999997,0.5249999999999999,0.019642857142857073
36,572732843,-0.3999999999999999,0.5452380952380952,-0.009523809523809601
37,573777420,5.199999999999999,0.5462406015037594,0.03909774436090219
38,572180043,5.700000000000001,0.5784050179211468,0.09229390681003574
39,570814567,-1.9000000000000004,0.5435185185185185,0.04999999999999999
40,573024295,-1.1,0.5380952380952381,-0.02619047619047632
41,568334975,1.5000000000000004,0.5769230769230769,-0.027972027972028024
42,573677038,-0.3999999999999998,0.5276785714285714,0.023214285714285743
43,571734323,-1.0999999999999994,0.5318100358422939,0.05645161290322581
44,707354621,-0.9,0.5357142857142857,-0.03571428571428581
45,617010721,-3.0000000000000004,0.5304511278195488,0.02706766917293224
46,618058102,-2.1,0.5206766917293234,0.016541353383458746
47,571734935,-0.30000000000000027,0.5336021505376344,0.058243727598566275
48,573777039,-0.30000000000000004,0.5476190476190477,-0.0071428571428571175
49,617680618,0.4999999999999999,0.5304511278195488,0.02631578947368418
50,774602173,7.4,0.5866666666666667,-0.022222222222222254
51,572118894,3.0,0.5031362007168458,0.025089605734766984
52,565766526,-0.7000000000000001,0.5273704789833822,0.011730205278592365
53,774602173,5.4,0.6022222222222222,-0.00666666666666671
54,574118187,-1.6,0.5119236883942766,-0.0015898251192368873
55,587286221,0.6000000000000001,0.5455840455840456,0.0185185185185186
56,774601140,6.9,0.5933333333333333,-0.02444444444444449
57,572180209,0.09999999999999998,0.55,-0.014285714285714346
58,572139050,3.400000000000001,0.5120967741935484,0.02598566308243727
59,620535556,-0.7,0.5408684546615582,0.016602809706258048
60,703066934,-0.20000000000000004,0.5404761904761904,-0.01904761904761909
61,571734935,-3.5,0.49955197132616486,0.024193548387096753
62,774445831,3.500000000000001,0.5955555555555556,-0.013333333333333308
63,617696903,0.5000000000000003,0.5223063973063973,0.01683501683501687
64,573732851,-2.9,0.5142857142857142,0.01607142857142857
65,568334975,0.9,0.6188811188811189,0.013986013986013957
66,573430804,6.1,0.5625000000000001,0.02717391304347827
67,774445899,7.1000000000000005,0.6444444444444445,0.033333333333333326
68,774616590,0.4999999999999998,0.5622222222222222,-0.05555555555555558
69,572663312,8.7,0.5697343453510436,0.055977229601518075
70,774621409,5.1,0.5577777777777778,-0.04888888888888887
71,774605807,-1.5999999999999996,0.5244444444444445,-0.08444444444444443
72,707534724,0.20000000000000015,0.5452380952380952,-0.02619047619047632
73,774621409,3.3000000000000007,0.5866666666666667,-0.020000000000000018
74,774601140,3.3000000000000003,0.5688888888888889,-0.04888888888888887
75,774260344,4.0,0.5800000000000001,-0.03777777777777769
76,619575286,4.699999999999999,0.5502164502164502,0.03549783549783547
77,587270777,0.20000000000000015,0.5273809523809524,0.010714285714285676
78,570817138,-0.3,0.5453703703703703,0.06111111111111106
79,774602173,-2.4000000000000004,0.5333333333333333,-0.0755555555555556
