Episode,Build,Reward,APFD,Improvement
0,700294105,22.935967415260112,0.49416909620991256,0.14067055393586003
1,621783216,2.0510083569498274,1.0,0.0
2,721814604,23.806618913673063,0.48627450980392156,0.10261437908496729
3,699534352,22.573616472170805,0.517156862745098,-0.012663398692810413
4,619804718,1.63450536859283,1.0,0.0
5,716626551,28.657876259457293,0.5751633986928104,0.21960784313725484
6,621783216,1.6589101552963257,1.0,0.0
7,724489368,26.074049095569862,0.5431372549019607,0.16928104575163389
8,704432502,25.38551059034356,0.575801749271137,0.2223032069970845
9,721834538,27.912985456231546,0.6268221574344023,0.28790087463556846
10,621261626,1.3119350426949157,0.8333333333333334,-0.16666666666666663
11,689679884,41.407901299982576,0.5138888888888888,-0.020016339869281086
12,700203934,27.171716992579405,0.370262390670554,0.01676384839650147
13,723211456,32.356407071403225,0.5542483660130719,0.17973856209150324
14,703550124,28.249012947224564,0.5896501457725948,0.22813411078717205
15,721800318,28.986378812856437,0.6020408163265306,0.2631195335276968
16,716626551,31.83183270867021,0.6058823529411764,0.25032679738562086
17,721581134,30.14577917958085,0.7142857142857143,0.3680758017492711
18,720772092,29.884070098400116,0.6800291545189504,0.3309037900874635
19,621261626,2.0,1.0,0.0
20,697269522,47.23991174050418,0.5265522875816993,-0.002450980392156854
21,713605920,29.434566185707876,0.4026143790849674,0.015686274509803977
22,615251949,2.0,0.6666666666666666,0.0
23,717058200,30.0,0.35555555555555557,0.0
24,730008189,28.0,0.337463556851312,0.0
25,721834538,28.0,0.3389212827988338,0.0
26,721814604,30.0,0.3836601307189543,0.0
27,695181600,48.0,0.5326797385620914,0.0
28,715596162,30.2877542284424,0.3915032679738562,0.039215686274509776
29,697721190,48.79553550234949,0.5347222222222222,0.0008169934640522847
30,619798381,2.0,1.0,0.0
31,721820793,28.0,0.3491253644314869,0.0
32,695146857,48.0,0.5339052287581699,0.0
33,700203934,28.0,0.35349854227405253,0.0
34,721886814,28.0,0.3462099125364432,0.0
35,698578231,47.51355198085756,0.5290032679738561,0.0
36,715596162,28.330904342764157,0.3516339869281046,-0.0006535947712418277
37,730008189,28.126573434360353,0.35787172011661805,0.020408163265306034
38,700294105,27.97912105503967,0.34839650145772594,-0.005102040816326592
39,718016682,30.0,0.38039215686274513,0.0
40,721800318,28.571670522025414,0.3556851311953353,0.01676384839650147
